q_deg,input_torque_Nm,input_torque_mNm,link 1_Nm,link 2_Nm,link 3_Nm,joint R12_Nm,joint R23_Nm,joint T3_Nm,rod P0-B2_Nm,rod A1-C3_Nm,TCP payload_Nm
40.4,-0.00541424755928,-5.41424755928,-0.00074299529034,-0.00121749544609,-0.000684732011408,-0.000891594348407,-0.000934648820723,-0.000434815202094,-0.000104316769597,-0.000403649670626,0
40.5,-0.00537800675248,-5.37800675248,-0.000741877065551,-0.0012126656889,-0.000675692174792,-0.000890252478662,-0.000928746054683,-0.000422638294902,-0.000104048877635,-0.000402086117358,0
40.6,-0.00534179642616,-5.34179642616,-0.000740756580877,-0.00120783681296,-0.000666664443731,-0.000888907897053,-0.000922847322391,-0.00041048156507,-0.000103781124731,-0.000400520679345,0
40.7,-0.00530561696692,-5.30561696692,-0.00073963383973,-0.00120300885245,-0.000657648926936,-0.000887560607676,-0.000916952670992,-0.000398345182879,-0.000103513510886,-0.000398953375374,0
40.8,-0.00526946876035,-5.26946876035,-0.00073850884553,-0.00119818184144,-0.000648645732798,-0.000886210614636,-0.000911062147519,-0.000386229318076,-0.000103246036097,-0.000397384224261,0
40.9,-0.00523335219105,-5.23335219105,-0.000737381601704,-0.00119335581396,-0.000639654969381,-0.000884857922044,-0.000905175798889,-0.000374134139872,-0.00010297870036,-0.000395813244846,0
41,-0.00519726764259,-5.19726764259,-0.000736252111685,-0.00118853080395,-0.000630676744422,-0.000883502534022,-0.000899293671907,-0.000362059816938,-0.000102711503667,-0.000394240455996,0
41.1,-0.00516121549753,-5.16121549753,-0.000735120378915,-0.00118370684531,-0.000621711165333,-0.000882144454698,-0.000893415813264,-0.000350006517403,-0.000102444446009,-0.0003926658766,0
41.2,-0.00512519613741,-5.12519613741,-0.000733986406841,-0.00117888397183,-0.000612758339195,-0.000880783688209,-0.000887542269537,-0.000337974408854,-0.000102177527372,-0.000391089525575,0
41.3,-0.00508920994276,-5.08920994276,-0.000732850198917,-0.00117406221726,-0.00060381837276,-0.0008794202387,-0.000881673087191,-0.000325963658329,-0.000101910747741,-0.000389511421862,0
41.4,-0.00505325729307,-5.05325729307,-0.000731711758604,-0.00116924161527,-0.000594891372448,-0.000878054110324,-0.000875808312577,-0.00031397443232,-0.000101644107099,-0.000387931584426,0
41.5,-0.0050173385668,-5.0173385668,-0.00073057108937,-0.00116442219945,-0.00058597744435,-0.000876685307244,-0.000869947991934,-0.000302006896765,-0.000101377605425,-0.000386350032257,0
41.6,-0.00498145414138,-4.98145414138,-0.00072942819469,-0.00115960400334,-0.000577076694219,-0.000875313833628,-0.000864092171386,-0.000290061217052,-0.000101111242696,-0.00038476678437,0
41.7,-0.00494560439322,-4.94560439322,-0.000728283078045,-0.0011547870604,-0.000568189227478,-0.000873939693654,-0.000858240896945,-0.000278137558011,-0.000100845018887,-0.000383181859802,0
41.8,-0.00490978969766,-4.90978969766,-0.000727135742923,-0.00114997140401,-0.000559315149211,-0.000872562891508,-0.000852394214511,-0.000266236083912,-0.000100578933969,-0.000381595277618,0
41.9,-0.00487401042903,-4.87401042903,-0.00072598619282,-0.0011451570675,-0.000550454564169,-0.000871183431384,-0.00084655216987,-0.000254356958468,-0.000100312987912,-0.000380007056902,0
42,-0.00483826696058,-4.83826696058,-0.000724834431237,-0.00114034408412,-0.000541607576762,-0.000869801317485,-0.000840714808697,-0.000242500344826,-0.000100047180682,-0.000378417216766,0
42.1,-0.00480255966453,-4.80255966453,-0.000723680461683,-0.00113553248705,-0.000532774291062,-0.00086841655402,-0.000834882176552,-0.000230666405572,-9.97815122437e-05,-0.000376825776344,0
42.2,-0.00476688891203,-4.76688891203,-0.000722524287673,-0.0011307223094,-0.000523954810802,-0.000867029145208,-0.000829054318885,-0.000218855302719,-9.95159825581e-05,-0.000375232754792,0
42.3,-0.0047312550732,-4.7312550732,-0.000721365912728,-0.0011259135842,-0.000515149239373,-0.000865639095274,-0.000823231281032,-0.000207067197714,-9.92505915844e-05,-0.000373638171292,0
42.4,-0.00469565851707,-4.69565851707,-0.000720205340378,-0.00112110634445,-0.000506357679824,-0.000864246408453,-0.000817413108218,-0.00019530225143,-9.8985339279e-05,-0.000372042045045,0
42.5,-0.00466009961163,-4.66009961163,-0.000719042574157,-0.00111630062303,-0.000497580234859,-0.000862851088988,-0.000811599845554,-0.000183560624165,-9.87202255957e-05,-0.00037044439528,0
42.6,-0.00462457872377,-4.62457872377,-0.000717877617608,-0.00111149645278,-0.000488817006842,-0.00086145314113,-0.00080579153804,-0.000171842475644,-9.84552504858e-05,-0.000368845241245,0
42.7,-0.00458909621935,-4.58909621935,-0.000716710474279,-0.00110669386647,-0.000480068097786,-0.000860052569135,-0.000799988230565,-0.000160147965006,-9.81904138979e-05,-0.000367244602212,0
42.8,-0.00455365246311,-4.55365246311,-0.000715541147726,-0.00110189289678,-0.000471333609359,-0.000858649377271,-0.000794189967904,-0.000148477250814,-9.79257157782e-05,-0.000365642497475,0
42.9,-0.00451824781875,-4.51824781875,-0.00071436964151,-0.00109709357636,-0.000462613642884,-0.000857243569812,-0.000788396794723,-0.000136830491046,-9.76611560702e-05,-0.00036403894635,0
43,-0.00448288264887,-4.48288264887,-0.000713195959201,-0.00109229593774,-0.000453908299332,-0.000855835151041,-0.000782608755572,-0.000125207843093,-9.73967347151e-05,-0.000362433968175,0
43.1,-0.00444755731499,-4.44755731499,-0.000712020104373,-0.00108750001343,-0.000445217679326,-0.000854424125247,-0.000776825894894,-0.000113609463757,-9.71324516513e-05,-0.000360827582311,0
43.2,-0.00441227217753,-4.41227217753,-0.000710842080608,-0.00108270583583,-0.000436541883135,-0.000853010496729,-0.000771048257018,-0.000102035509252,-9.68683068146e-05,-0.000359219808139,0
43.3,-0.00437702759583,-4.37702759583,-0.000709661891495,-0.0010779134373,-0.000427881010679,-0.000851594269794,-0.000765275886161,-9.04861351959e-05,-9.66043001385e-05,-0.000357610665063,0
43.4,-0.00434182392813,-4.34182392813,-0.000708479540629,-0.00107312285012,-0.000419235161522,-0.000850175448754,-0.000759508826431,-7.8961496614e-05,-9.63404315538e-05,-0.000356000172508,0
43.5,-0.00430666153159,-4.30666153159,-0.000707295031611,-0.0010683341065,-0.000410604434877,-0.000848754037933,-0.000753747121822,-6.74617479335e-05,-9.60767009888e-05,-0.00035438834992,0
43.6,-0.00427154076223,-4.27154076223,-0.00070610836805,-0.00106354723859,-0.0004019889296,-0.00084733004166,-0.000747990816219,-5.59870429806e-05,-9.58131083693e-05,-0.000352775216765,0
43.7,-0.00423646197499,-4.23646197499,-0.00070491955356,-0.00105876227844,-0.000393388744188,-0.000845903464272,-0.000742239953395,-4.45375349808e-05,-9.55496536184e-05,-0.000351160792531,0
43.8,-0.0042014255237,-4.2014255237,-0.000703728591763,-0.00105397925809,-0.000384803976784,-0.000844474310116,-0.000736494577012,-3.31133765558e-05,-9.52863366567e-05,-0.000349545096727,0
