q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
60.5,6.14647395e-06,0,0,26.98102653,15.26513039,80.58955612,8.774709362,54,0,65.518519,7.957621,74.38209331,-20.70310281,95.66393887,-38.89879513,62.69912857,-76.4929678
61,7.741158477e-06,0,0,27.11321087,15.02909825,80.70632758,8.412614864,54,0,65.518519,7.957621,74.32909393,-20.71943993,95.13155701,-39.46131132,61.20220366,-76.18731923
61.5,9.971228529e-06,0,0,27.24333043,14.7919216,80.81993876,8.043065942,54,0,65.518519,7.957621,74.29197416,-20.73081851,94.58277499,-40.02547261,59.67780782,-75.82553041
62,2.250288844e-11,0,0,27.37137538,14.55361845,80.93026506,7.66556091,54,0,65.518519,7.957621,74.27399298,-20.73630998,94.01657524,-40.59154723,58.1228819,-75.40020676
62.5,3.5946357e-11,0,0,27.49733583,14.31420701,81.03716599,7.279536733,54,0,65.518519,7.957621,74.27950709,-20.73462687,93.43181496,-41.15983441,56.5335728,-74.90179235
63,7.551648196e-11,0,0,27.62120225,14.07370549,81.14048092,6.884351498,54,0,65.518519,7.957621,74.31464668,-20.72387369,92.82719096,-41.73067507,54.90474996,-74.31730528
63.5,2.104840746e-10,0,0,27.74296521,13.83213221,81.24002573,6.479274529,54,0,65.518519,7.957621,74.38836601,-20.70116149,92.20121857,-42.30445484,53.22931468,-73.62841862
64,7.564295856e-10,0,0,27.86261544,13.58950555,81.33558768,6.063468152,54,0,65.518519,7.957621,74.51461307,-20.66178311,91.55219407,-42.88161285,51.49672352,-72.80750931
64.5,3.940648696e-09,0,0,27.98014381,13.345844,81.42691903,5.635965985,54,0,65.518519,7.957621,74.71719941,-20.5973134,90.87814969,-43.4626515,49.68964335,-71.80884958
65,3.799871706e-08,0,0,28.0955414,13.10116611,81.51372875,5.195645311,54,0,65.518519,7.957621,75.04327491,-20.4902089,90.17679621,-44.04814884,47.77453118,-70.5443358
65.5,1.330234603e-06,0,0,28.20879938,12.85549053,81.59567183,4.741191556,54,0,65.518519,7.957621,75.61787073,-20.29132821,89.44544902,-44.63877399,45.66261281,-68.78547915
