q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
6.5,-0.00740179916867,-7.40179916867,-2.50966919952e-05,-8.41179795266e-05,-0.00127065575571,-0.000165625196026,-0.0034029471842,-3.01160303943e-05,-9.60609388957e-05,-0.00133342821577,-0.000993751176157
7,-0.00744128207312,-7.44128207312,-3.02899236764e-05,-9.31206441845e-05,-0.00128305298449,-0.000164380738218,-0.00340436939384,-3.63479084117e-05,-0.000103333057865,-0.00134010299312,-0.000986284429309
7.5,-0.00747979906464,-7.47979906464,-3.54808486626e-05,-0.000102125687678,-0.00129537075176,-0.0001631045702,-0.00340521921373,-4.25770183952e-05,-0.000110611513122,-0.0013466820399,-0.000978627421199
8,-0.0075173537372,-7.5173537372,-4.06690716448e-05,-0.000111132784649,-0.00130760883438,-0.000161797508287,-0.00340549619282,-4.88028859738e-05,-0.000117896291,-0.00135316511873,-0.000970785049719
8.5,-0.00755395007006,-7.55395007006,-4.58541975197e-05,-0.000120141613878,-0.00131976702128,-0.000160460385716,-0.00340520011666,-5.50250370237e-05,-0.000125187383793,-0.00135955199989,-0.000962762314295
9,-0.00758959242241,-7.58959242241,-5.103583142e-05,-0.000129151858693,-0.00133184511424,-0.000159094051721,-0.00340433100647,-6.1242997704e-05,-0.000132484790336,-0.00136584246151,-0.000954564310324
9.5,-0.00762428552739,-7.62428552739,-5.6213578744e-05,-0.000138163207395,-0.00134384292853,-0.000157699370572,-0.00340288911779,-6.74562944928e-05,-0.000139788516599,-0.00137203628983,-0.000946196223434
10,-0.00765803448529,-7.65803448529,-6.13870451864e-05,-0.000147175353676,-0.00135576029376,-0.000156277220597,-0.00340087493855,-7.36644542237e-05,-0.000147098576291,-0.00137813327942,-0.000937663323582
10.5,-0.00769084475624,-7.69084475624,-6.65558367676e-05,-0.000156187997063,-0.00136759705453,-0.000154828493166,-0.00339828918671,-7.98670041211e-05,-0.000154414991474,-0.00138413323342,-0.000928970958996
11,-0.00772272215218,-7.72272215218,-7.17195598641e-05,-0.000165200843351,-0.00137935307124,-0.000153354091663,-0.00339513280734,-8.60634718369e-05,-0.00016173779319,-0.00139003596372,-0.000920124549981
11.5,-0.00775367282831,-7.75367282831,-7.68778212384e-05,-0.00017421360506,-0.00139102822084,-0.000151854930435,-0.00339140696929,-9.22533854861e-05,-0.000169067022104,-0.00139584129125,-0.000911129582609
12,-0.00778370327387,-7.78370327387,-8.2030228069e-05,-0.000183226001893,-0.00140262239762,-0.000150331933717,-0.00338711306132,-9.84362736828e-05,-0.000176402729156,-0.00140154904612,-0.000901991602303
12.5,-0.00781282030246,-7.81282030246,-8.71763879801e-05,-0.000192237761211,-0.00141413551399,-0.000148786034555,-0.00338225268768,-0.000104611665576,-0.00018374497624,-0.0014071590679,-0.000892716207333
13,-0.0078410310418,-7.8410310418,-9.23159090716e-05,-0.00020124861852,-0.00142556750129,-0.000147218173707,-0.00337682766337,-0.000110779090886,-0.000191093836893,-0.00141267120582,-0.00088330904224
13.5,-0.007868342923,-7.868342923,-9.74483999493e-05,-0.000210258317965,-0.00143691831063,-0.000145629298535,-0.00337084000878,-0.000116938079939,-0.000198449397008,-0.00141808531898,-0.000873775791209
14,-0.00789476366939,-7.89476366939,-0.000102573469754,-0.000219266612849,-0.00144818791372,-0.0001440203619,-0.00336429194392,-0.000123088163705,-0.000205811755569,-0.00142340127658,-0.0008641221714
14.5,-0.00792030128493,-7.92030128493,-0.000107690728192,-0.000228273266159,-0.00145937630375,-0.000142392321043,-0.00335718588219,-0.00012922887383,-0.000213181025408,-0.00142861895811,-0.000854353926261
15,-0.00794496404221,-7.94496404221,-0.000112799785564,-0.00023727805111,-0.00147048349626,-0.000140746136473,-0.00334952442371,-0.000135359742676,-0.000220557333988,-0.0014337382536,-0.000844476818837
15.5,-0.0079687604701,-7.9687604701,-0.000117900252795,-0.000246280751715,-0.00148150953007,-0.000139082770848,-0.0033413103482,-0.000141480303354,-0.000227940824218,-0.00143875906381,-0.000834496625087
16,-0.0079916993411,-7.9916993411,-0.000122991741466,-0.000255281163364,-0.00149245446823,-0.000137403187873,-0.0033325466074,-0.000147590089759,-0.000235331655287,-0.00144368130048,-0.000824419127235
16.5,-0.00801378965836,-8.01378965836,-0.000128073863839,-0.000264279093431,-0.00150331839896,-0.000135708351194,-0.00332323631711,-0.000153688636607,-0.00024273000354,-0.00144850488652,-0.000814250107162
17,-0.0080350406425,-8.0350406425,-0.000133146232892,-0.000273274361903,-0.00151410143666,-0.000133999223309,-0.0033133827488,-0.00015977547947,-0.000250136063385,-0.00145322975622,-0.000803995339854
17.5,-0.00805546171819,-8.05546171819,-0.000138208462343,-0.000282266802029,-0.00152480372298,-0.00013227676449,-0.00330298932085,-0.000165850154812,-0.000257550048232,-0.00145785585552,-0.000793660586939
18,-0.0080750625005,-8.0750625005,-0.000143260166685,-0.000291256260999,-0.00153542542782,-0.000130541931716,-0.00329205958931,-0.000171912200022,-0.000264972191476,-0.00146238314218,-0.000783251590297
18.5,-0.00809385278121,-8.09385278121,-0.000148300961211,-0.000300242600648,-0.00154596675052,-0.000128795677631,-0.00328059723842,-0.000177961153453,-0.00027240274752,-0.00146681158603,-0.000772774065785
19,-0.0081118425149,-8.1118425149,-0.000153330462044,-0.000309225698195,-0.00155642792093,-0.000127038949513,-0.00326860607065,-0.000183996554452,-0.000279841992839,-0.00147114116919,-0.000762233697081
19.5,-0.00812904180502,-8.12904180502,-0.000158348286168,-0.000318205447002,-0.00156680920068,-0.000125272688275,-0.00325608999642,-0.000190017943402,-0.000287290227102,-0.00147537188632,-0.000751636129652
20,-0.00814546088988,-8.14546088988,-0.000163354051458,-0.000327181757384,-0.00157711088434,-0.000123497827479,-0.00324305302345,-0.00019602486175,-0.000294747774326,-0.00147950374481,-0.000740986964874
20.5,-0.00816111012866,-8.16111012866,-0.000168347376704,-0.000336154557435,-0.0015873333008,-0.000121715292384,-0.00322949924584,-0.000202016852045,-0.000302214984108,-0.00148353676504,-0.000730291754306
21,-0.00817599998742,-8.17599998742,-0.000173327881645,-0.000345123793911,-0.00159747681452,-0.000119925999021,-0.00321543283272,-0.000207993457975,-0.000309692232892,-0.00148747098061,-0.000719555994125
21.5,-0.00819014102511,-8.19014102511,-0.000178295186998,-0.00035408943314,-0.00160754182703,-0.000118130853291,-0.00320085801661,-0.000213954224397,-0.000317179925312,-0.00149130643858,-0.000708785119748
22,-0.00820354387972,-8.20354387972,-0.000183248914481,-0.000363051461985,-0.00161752877829,-0.000116330750106,-0.00318577908153,-0.000219898697377,-0.000324678495601,-0.0014950431997,-0.000697984500638
