q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,h_x_mm,h_y_mm,i_x_mm,i_y_mm
8,1.815551798e-08,0,-0,1.658857524,24.24331231,42.56193326,14.7071498,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.02915263,9.83720625,70.04664938,-8.718645714,107.9080018,-7.007507279
8.5,1.822441931e-08,0,-0,1.870354485,24.22791312,42.76860979,14.67109811,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.18360562,9.43487139,69.93767271,-9.005426621,107.8195531,-7.833614952
9,1.829676677e-08,0,-0,2.081709012,24.21066888,42.97505827,14.63288278,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.33400422,9.030656316,69.82513657,-9.28980142,107.7199032,-8.659989294
9.5,1.837306485e-08,0,-0,2.292905008,24.1915809,43.18126134,14.59250193,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.48032681,8.624589659,69.70910365,-9.571718886,107.6090078,-9.48645523
10,1.845372566e-08,0,-0,2.503926391,24.17065065,43.38720158,14.54995368,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.62255172,8.216700116,69.58963752,-9.851129344,107.4868251,-10.31283636
10.5,1.853931764e-08,0,-0,2.71475709,24.1478797,43.59286157,14.50523616,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.76065724,7.807016439,69.46680257,-10.12798469,107.3533165,-11.13895505
11,1.863035948e-08,0,-0,2.925381049,24.1232698,43.79822383,14.45834748,39.17695473,-5.308641975,49.05349794,-0.9053497942,78.89462162,7.395567442,69.340664,-10.40223843,107.2084462,-11.96463248
11.5,1.872734856e-08,0,-0,3.13578223,24.09682282,44.00327084,14.40928573,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.02442303,6.982381989,69.21128771,-10.67384568,107.0521811,-12.78968874
12,1.883091016e-08,0,-0,3.345944609,24.06854077,44.20798506,14.358049,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.15003959,6.567488999,69.07874033,-10.94276319,106.8844912,-13.61394291
12.5,1.89415772e-08,0,-0,3.555852181,24.03842581,44.4123489,14.30463536,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.27144934,6.150917439,68.9430891,-11.20894935,106.7053496,-14.43721313
13,1.905996072e-08,0,-0,3.765488961,24.00648023,44.61634472,14.24904287,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.38863026,5.732696322,68.80440186,-11.47236426,106.5147319,-15.25931668
13.5,1.918671444e-08,0,-0,3.974838984,23.97270646,44.81995488,14.19126955,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.50156023,5.312854703,68.662747,-11.73296966,106.3126171,-16.08007006
14,1.932244942e-08,0,-0,4.183886309,23.93710708,45.02316165,14.13131339,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.61021705,4.89142168,68.51819338,-11.99072899,106.0989869,-16.89928906
14.5,1.946784778e-08,0,-0,4.392615014,23.8996848,45.2259473,14.06917237,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.71457842,4.468426387,68.37081032,-12.24560741,105.8738259,-17.71678882
15,1.962362717e-08,0,-0,4.601009204,23.86044246,45.42829405,14.00484442,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.81462194,4.043897991,68.22066754,-12.49757176,105.6371217,-18.53238396
15.5,1.979052655e-08,0,-0,4.80905301,23.81938306,45.63018406,13.93832743,39.17695473,-5.308641975,49.05349794,-0.9053497942,79.9103251,3.617865691,68.06783506,-12.74659062,105.3888649,-19.34588859
16,1.996927779e-08,0,-0,5.016730588,23.77650971,45.83159947,13.86961925,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.00166523,3.190358715,67.91238324,-12.99263425,105.1290488,-20.15711642
16.5,2.016071221e-08,0,-0,5.224026122,23.7318257,46.03252236,13.79871767,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.08861958,2.761406314,67.75438266,-13.23567466,104.8576698,-20.96588081
17,2.036564695e-08,0,-0,5.430923826,23.68533442,46.23293478,13.72562044,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.17116522,2.331037761,67.59390406,-13.47568556,104.5747268,-21.77199485
17.5,2.058497728e-08,0,-0,5.637407945,23.6370394,46.43281872,13.65032524,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.24927908,1.899282346,67.43101838,-13.71264236,104.280222,-22.57527145
18,2.081961981e-08,0,-0,5.843462753,23.58694433,46.63215614,13.57282968,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.32293791,1.466169374,67.26579661,-13.9465222,103.9741599,-23.37552335
18.5,2.107053376e-08,0,-0,6.049072559,23.53505303,46.83092893,13.49313132,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.39211829,1.031728161,67.09830979,-14.1773039,103.6565482,-24.17256321
19,2.133874943e-08,0,-0,6.254221705,23.48136944,47.02911893,13.41122761,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.4567966,0.5959880285,66.92862897,-14.40496797,103.3273968,-24.96620371
19.5,2.162533264e-08,0,-0,6.458894567,23.42589766,47.22670795,13.32711594,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.51694903,0.1589783035,66.75682514,-14.62949663,102.9867188,-25.75625753
20,2.193141313e-08,0,-0,6.66307556,23.3686419,47.42367773,13.24079359,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.57255154,-0.2792716884,66.58296919,-14.85087374,102.6345295,-26.54253747
20.5,2.225823437e-08,0,-0,6.866749133,23.30960652,47.62000994,13.15225775,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.62357984,-0.7187326254,66.40713188,-15.06908481,102.270847,-27.32485645
21,2.260703269e-08,0,-0,7.069899777,23.24879604,47.81568621,13.06150551,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.6700094,-1.159375194,66.22938376,-15.28411702,101.8956918,-28.10302762
21.5,2.297913682e-08,0,-0,7.272512021,23.18621506,48.0106881,12.96853381,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.71181542,-1.601170092,66.04979517,-15.49595913,101.509087,-28.87686432
22,2.337603888e-08,0,-0,7.474570435,23.12186837,48.20499711,12.87333952,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.74897282,-2.044088034,65.86843618,-15.70460155,101.1110579,-29.64618021
22.5,2.379920971e-08,0,-0,7.676059631,23.05576085,48.39859465,12.77591932,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.7814562,-2.488099753,65.68537652,-15.91003624,100.7016322,-30.41078923
23,2.425029066e-08,0,-0,7.876964266,22.98789755,48.59146209,12.67626979,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.80923982,-2.933176009,65.50068561,-16.11225672,100.28084,-31.1705057
23.5,2.473101546e-08,0,-0,8.077269039,22.91828364,48.78358071,12.57438734,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.83229763,-3.379287589,65.31443244,-16.31125806,99.84871337,-31.92514427
24,2.52432244e-08,0,-0,8.276958697,22.8469244,48.9749317,12.47026821,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.85060318,-3.826405312,65.1266856,-16.50703685,99.40528664,-32.67452004
24.5,2.578887148e-08,0,-0,8.476018033,22.77382529,49.16549619,12.36390848,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.86412963,-4.274500035,64.93751319,-16.69959115,98.95059614,-33.41844848
25,2.637008834e-08,0,-0,8.674431887,22.69899186,49.3552552,12.25530404,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.87284973,-4.723542657,64.74698284,-16.88892049,98.48468017,-34.1567455
25.5,2.698912027e-08,0,-0,8.872185149,22.62242981,49.54418967,12.14445058,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.87673577,-5.173504123,64.55516165,-17.07502582,98.00757892,-34.88922748
26,2.764839735e-08,0,-0,9.06926276,22.54414498,49.73228044,12.03134358,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.87575958,-5.624355428,64.36211613,-17.25790952,97.51933435,-35.61571119
26.5,2.835049173e-08,0,-0,9.265649712,22.46414333,49.91950826,11.9159783,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.86989249,-6.076067625,64.16791225,-17.43757531,97.01999015,-36.33601388
27,2.909821006e-08,0,-0,9.461331048,22.38243094,50.10585376,11.79834976,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.85910528,-6.528611823,63.97261534,-17.61402828,96.5095916,-37.0499532
27.5,2.989455794e-08,0,-0,9.656291868,22.29901404,50.29129744,11.67845272,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.84336819,-6.981959202,63.77629008,-17.78727481,95.98818554,-37.75734724
28,3.074274701e-08,0,-0,9.850517324,22.21389899,50.47581971,11.55628169,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.82265084,-7.436081006,63.57900051,-17.95732257,95.45582021,-38.45801447
28.5,3.164626605e-08,0,-0,10.04399262,22.12709227,50.65940084,11.43183088,39.17695473,-5.308641975,49.05349794,-0.9053497942,80.79692222,-7.89094856,63.38080999,-18.12418047,94.91254518,-39.15177373
