q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_ef_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_g_Nm
19,-0.0101109873432,-10.1109873432,-0.000247433662406,-0.000417285716557,-0.00194404418903,-0.000136112970775,-0.00406546068522,-0.000296920394887,-0.000329008179948,-0.000816677824649,-0.00185804371976
19.5,-0.0101263757932,-10.1263757932,-0.000253695125231,-0.000428030938162,-0.00195489410643,-0.000134229848748,-0.00404645446286,-0.000304434150278,-0.000337612256965,-0.000805379092488,-0.00186164581203
20,-0.0101409908151,-10.1409908151,-0.00025993726819,-0.000438755969924,-0.00196562517121,-0.000132349991943,-0.00402696721136,-0.000311924721828,-0.000346209233058,-0.00079409995166,-0.00186512129589
20.5,-0.0101548419145,-10.1548419145,-0.00026615961592,-0.000449460509429,-0.00197623779789,-0.000130474027692,-0.00400700451246,-0.000319391539104,-0.000354799225039,-0.00078284416615,-0.00186847052086
21,-0.0101679385682,-10.1679385682,-0.000272361694564,-0.000460144271693,-0.00198673244685,-0.00012860256627,-0.00398657191997,-0.000326834033477,-0.000363382374062,-0.00077161539762,-0.00187169386372
21.5,-0.0101802902196,-10.1802902196,-0.000278543031811,-0.000470806990052,-0.00199710962632,-0.000126736200738,-0.00396567495171,-0.000334251638173,-0.000371958846905,-0.000760417204429,-0.00187479172945
22,-0.010191906275,-10.191906275,-0.000284703156927,-0.000481448417093,-0.00200736989435,-0.000124875506799,-0.0039443190813,-0.000341643788313,-0.000380528837326,-0.000749253040792,-0.00187776455212
22.5,-0.0102027961005,-10.2027961005,-0.000290841600796,-0.000492068325632,-0.00201751386106,-0.00012302104268,-0.0039225097299,-0.000349009920955,-0.000389092567493,-0.000738126256077,-0.0018806127959
23,-0.0102129690185,-10.2129690185,-0.000296957895951,-0.000502666509751,-0.00202754219081,-0.000121173349037,-0.00390025225791,-0.000356349475141,-0.000397650289486,-0.000727040094223,-0.00188333695616
23.5,-0.0102224343051,-10.2224343051,-0.000303051576612,-0.000513242785877,-0.00203745560466,-0.000119332948881,-0.00387755195651,-0.000363661891934,-0.000406202286882,-0.000715997693287,-0.0018859375605
24,-0.0102312011881,-10.2312011881,-0.000309122178722,-0.00052379699393,-0.00204725488286,-0.000117500347519,-0.00385441403915,-0.000370946614466,-0.000414748876429,-0.000705002085111,-0.00188841516995
24.5,-0.0102392788445,-10.2392788445,-0.000315169239981,-0.000534328998527,-0.00205694086751,-0.000115676032517,-0.00383084363284,-0.000378203087977,-0.000423290409814,-0.000694056195101,-0.0018907703802
25,-0.0102466763989,-10.2466763989,-0.000321192299882,-0.00054483869026,-0.00206651446537,-0.000113860473685,-0.00380684576934,-0.000385430759859,-0.00043182727553,-0.000683162842109,-0.00189300382284
25.5,-0.0102534029226,-10.2534029226,-0.000327190899747,-0.000555325987036,-0.00207597665082,-0.000112054123069,-0.00378242537615,-0.000392629079696,-0.000440359900859,-0.000672324738414,-0.00189511616678
26,-0.0102594674323,-10.2594674323,-0.000333164582757,-0.00056579083551,-0.00208532846899,-0.000110257414968,-0.00375758726733,-0.000399797499308,-0.000448888753958,-0.000661544489808,-0.00189710811965
26.5,-0.0102648788896,-10.2648788896,-0.000339112893994,-0.000576233212585,-0.00209457103911,-0.000108470765958,-0.00373233613402,-0.000406935472793,-0.000457414346085,-0.00065082459575,-0.00189898042931
27,-0.0102696462009,-10.2696462009,-0.000345035380471,-0.000586653127012,-0.00210370555803,-0.000106694574935,-0.00370667653478,-0.000414042456565,-0.000465937233953,-0.000640167449609,-0.0019007338855
27.5,-0.010273778217,-10.273778217,-0.000350931591168,-0.000597050621086,-0.00211273330389,-0.000104929223163,-0.00368061288561,-0.000421117909402,-0.000474458022227,-0.000629575338975,-0.00190236932148
28,-0.0102772837342,-10.2772837342,-0.000356801077066,-0.000607425772439,-0.00212165564019,-0.000103175074339,-0.00365414944957,-0.000428161292479,-0.00048297736618,-0.000619050446033,-0.0019038876159
28.5,-0.0102801714944,-10.2801714944,-0.00036264339118,-0.000617778695957,-0.0021304740199,-0.000101432474664,-0.0036272903261,-0.000435172069416,-0.000491495974519,-0.000608594847983,-0.00190528969465
29,-0.0102824501863,-10.2824501863,-0.000368458088596,-0.000628109545804,-0.00213918998999,-9.97017529186e-05,-0.00360003943986,-0.000442149706315,-0.000500014612391,-0.000598210517512,-0.00190657653294
29.5,-0.010284128447,-10.284128447,-0.000374244726501,-0.000638418517588,-0.00214780519617,-9.79832205487e-05,-0.00357240052912,-0.000449093671801,-0.000508534104581,-0.000587899323292,-0.00190774915739
30,-0.010285214863,-10.285214863,-0.000380002864222,-0.00064870585066,-0.00215632138796,-9.62771717517e-05,-0.00354437713353,-0.000456003437066,-0.000517055338924,-0.00057766303051,-0.00190880864839
30.5,-0.0102857179726,-10.2857179726,-0.000385732063252,-0.000658971830569,-0.00216474042411,-9.45838835666e-05,-0.00351597258137,-0.000462878475903,-0.00052557926995,-0.0005675033014,-0.00190975614251
