finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
ring,32.5,0.4961832061068702,70.89146935535847,-55.331058083276744,0.0,-2.0,41.51424385486793,-16.57969674439631,59.84996642457586,-35.01339626041054,68.75876371052398,-59.439475170417424,59.84996642457586,-35.01339626041054,68.75876371052398,-59.439475170417424,64.30436506754992,-47.226435715413984,28.0,17.55610960302019,70.93537356224107,5.001152203476522e-08
ring,33.0,0.5038167938931297,70.07486768246885,-56.1141130072238,0.0,-2.0,41.437927411322015,-16.795207732708853,59.54881690300652,-35.44985009915458,67.99721060225284,-60.038966470072324,59.54881690300652,-35.44985009915458,67.99721060225284,-60.038966470072324,63.77301375262968,-47.744408284613456,28.0,17.523105417314,71.9844165379923,5.2182386411914194e-08
ring,33.5,0.5114503816793893,69.24723398208961,-56.88639472241251,0.0,-2.0,41.36049220397425,-17.010319271920398,59.24388648684028,-35.883162431432815,67.22889525777612,-60.62663904503903,59.24388648684028,-35.883162431432815,67.22889525777612,-60.62663904503903,63.2363908723082,-48.25490073823592,28.0,17.481781363306645,73.03272098703336,5.4489504464072525e-08
ring,34.0,0.5190839694656488,68.40864522669358,-57.647745922784445,0.0,-2.0,41.2819403234627,-17.22502555433208,58.93521070637601,-36.31329537607748,66.45401673063947,-61.20240054218378,58.93521070637601,-36.31329537607748,66.45401673063947,-61.20240054218378,62.69461371850774,-48.75784795913063,28.0,17.432103242332616,74.07805178765413,5.694300142522479e-08
ring,34.5,0.5267175572519084,67.5591771691529,-58.39800910083059,0.0,-2.0,41.202273890573906,-17.439320783186396,58.62282550845396,-36.740211470633355,65.67277548530578,-61.76616210839909,58.62282550845396,-36.740211470633355,65.67277548530578,-61.76616210839909,62.14780049687987,-49.25318678951622,28.0,17.37405192019395,75.11823334554127,5.955392623491207e-08
ring,35.0,0.5343511450381679,66.69890418536961,-59.13702639283239,0.0,-2.0,41.12149505618578,-17.653199172823697,58.306767251426564,-37.16387367616889,64.88537333406968,-62.31783841354998,58.306767251426564,-37.16387367616888,64.88537333406968,-62.317838413549964,61.596070292748124,-49.74085604485943,28.0,17.30762276461343,76.15116881731265,6.233431548707813e-08
ring,35.5,0.5419847328244275,65.82789911052525,-59.86463941217,0.0,-2.0,41.03960600120941,-17.866654948838363,57.98707270007208,-37.584245382026204,64.09201337358434,-62.85734767226544,57.98707270007208,-37.584245382026204,64.09201337358434,-62.85734767226544,61.039543036828206,-50.22079652714582,28.0,17.23282490717538,77.17485773696635,6.529738527660811e-08
ring,36.0,0.549618320610687,64.94623306837713,-60.58068906976305,0.0,-2.0,40.95660893653023,-18.07968234823475,57.66377902045225,-38.00129041050977,63.29289992102243,-63.38461166456878,57.66377902045225,-38.00129041050977,63.29289992102243,-63.38461166456878,60.47833947073734,-50.692951037539274,28.0,17.149680346012147,78.18741172541421,6.845755962103794e-08
ring,36.5,0.5572519083969466,64.0539752929736,-61.285015380601415,0.0,-2.0,40.87250610294834,-18.292275619582757,57.33692377471453,-38.41497302151258,62.48823844989278,-63.89955575533997,57.33692377471453,-38.41497302151258,62.48823844989278,-63.89955575533997,59.912581112303656,-51.15726438842627,28.0,17.058222908540337,79.18706803665175,7.18306978342298e-08
ring,37.0,0.5648854961832062,63.15119294209224,-61.97745725520685,0.0,-2.0,40.78729977111799,-18.504429023173092,57.00654491583964,-38.82525791707954,61.67823552553387,-64.40210891260466,57.00654491583964,-38.82525791707954,61.67823552553387,-64.40210891260466,59.34239022068675,-51.6136834148421,28.0,16.958497095738526,80.17220077309298,7.543415847521828e-08
ring,37.5,0.5725190839694656,62.237950901636,-62.65785227473036,0.0,-2.0,40.700992241486276,-18.716136831172268,56.67268078233536,-39.23211024590719,60.863098740306185,-64.89220372464408,56.67268078233536,-39.23211024590719,60.863098740306185,-64.89220372464408,58.767889761320774,-52.062156985275635,28.0,16.850556830742676,81.14132968272638,7.928706935445007e-08
ring,38.0,0.5801526717557252,61.3143115801403,-63.326036448240274,0.0,-2.0,40.613585844231025,-18.92739332777724,56.33537009287712,-39.63549560777923,60.043036648505115,-65.36977641592068,56.33537009287712,-39.63549560777923,60.043036648505115,-65.36977641592068,58.18920337069112,-52.50263601184996,28.0,16.734464134928125,82.09312652803227,8.341052648574987e-08
ring,38.5,0.5877862595419847,60.38033469245586,-63.98184395058361,0.0,-2.0,40.5250829391979,-19.138192809369688,55.994651940896325,-40.03538005793717,59.21825870101625,-65.83476686181507,55.994651940896325,-40.03538005793717,59.21825870101625,-65.83476686181507,57.606455320956286,-52.93507345987612,28.0,16.6102877542057,83.02641908751117,8.782773619486761e-08
ring,39.0,0.5954198473282443,59.436077031571344,-64.62510683901088,0.0,-2.0,40.43548591583669,-19.348529584670064,55.65056578911717,-40.431730111385534,58.38897517973495,-66.28711860216974,55.65056578911717,-40.431730111385534,58.38897517973495,-66.28711860216974,57.01977048442606,-53.35942435677764,28.0,16.47810175707691,83.94019291250446,9.256438460170102e-08
